,ID,Age,Block,Gender,Vision,LicenseMonths,frameidx,trackindex,trialn,currtime,midlinepts,SWA,posx,posz,yaw,yaw_d,yawrate,steeringbias,autoflag,sectiontype,sectionorder,sectioncount,trialtype,obstaclecolour,obstacleoffset
20,12000.0,99.0,99.0,99.0,99.0,99.0,20.0,733.0,0.0,8.102435016324401,30000.0,0.006000000052154064,-24.998117446899414,22.933330535888672,0.07700000703334808,-0.003500014543533325,-0.21094018665919026,0.0021494211052861473,0.0,0.0,0.0,0.0,0.0,0.0,0.5
21,12000.0,99.0,99.0,99.0,99.0,99.0,21.0,767.0,0.0,8.118963171087456,30000.0,0.006000000052154064,-24.99793815612793,23.06666374206543,0.08049999922513962,-0.0034999921917915344,-0.20962316512786638,0.0026364636083593337,0.0,0.0,0.0,0.0,0.0,0.0,0.5
22,12000.0,99.0,99.0,99.0,99.0,99.0,22.0,800.0,0.0,8.135492533276665,30000.0,0.006000000052154064,-24.997751235961914,23.199996948242188,0.08400000631809235,-0.0035000070929527283,-0.21050698966540468,0.002271854488214311,0.0,0.0,0.0,0.0,0.0,0.0,0.5
23,12000.0,99.0,99.0,99.0,99.0,99.0,23.0,833.0,0.0,8.15231530002125,30000.0,0.006000000052154064,-24.997556686401367,23.333330154418945,0.08749999850988388,-0.0034999921917915344,-0.21039913866552093,0.0026388696466748845,0.0,0.0,0.0,0.0,0.0,0.0,0.5
24,12000.0,99.0,99.0,99.0,99.0,99.0,24.0,867.0,0.0,8.169058980352762,30000.0,0.006000000052154064,-24.997352600097656,23.466663360595703,0.09099999815225601,-0.0034999996423721313,-0.20856406833899388,0.003137325492694395,0.0,0.0,0.0,0.0,0.0,0.0,0.5
25,12000.0,99.0,99.0,99.0,99.0,99.0,25.0,900.0,0.0,8.185532197225818,30000.0,0.006000000052154064,-24.997140884399414,23.59999656677246,0.09450000524520874,-0.0035000070929527283,-0.21112025450667984,0.0028821262809771097,0.0,0.0,0.0,0.0,0.0,0.0,0.5
26,12000.0,99.0,99.0,99.0,99.0,99.0,26.0,933.0,0.0,8.202367943801557,30000.0,0.006000000052154064,-24.99692153930664,23.73332977294922,0.09799999743700027,-0.0034999921917915344,-0.209097708517584,0.0032236440007211405,0.0,0.0,0.0,0.0,0.0,0.0,0.5
27,12000.0,99.0,99.0,99.0,99.0,99.0,27.0,967.0,0.0,8.218918134091918,30000.0,0.006000000052154064,-24.996692657470703,23.866662979125977,0.1015000119805336,-0.003500014543533325,-0.20990152390084937,0.0037296389076464653,0.0,0.0,0.0,0.0,0.0,0.0,0.5
28,12000.0,99.0,99.0,99.0,99.0,99.0,28.0,1000.0,0.0,8.235599933833047,30000.0,0.006000000052154064,-24.996456146240234,23.999996185302734,0.10500000417232513,-0.0034999921917915344,-0.21028847859400923,0.003566791007381655,0.0,0.0,0.0,0.0,0.0,0.0,0.5
29,12000.0,99.0,99.0,99.0,99.0,99.0,29.0,1033.0,0.0,8.252191478469177,30000.0,0.006000000052154064,-24.996212005615234,24.133329391479492,0.10850001871585846,-0.003500014543533325,-0.21102848630962454,0.003897208304181254,0.0,0.0,0.0,0.0,0.0,0.0,0.5
